Time: 20211118-221336, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 63.76% +- 0.62% 
Time: 20211119-100032, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 67.16% +- 0.68% 
Time: 20211119-100046, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 63.78% +- 0.68% 
Time: 20211119-101731, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 66.44% +- 0.68% 
Time: 20211119-101734, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 64.83% +- 0.69% 
Time: 20211119-104210, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 64.58% +- 0.69% 
Time: 20211119-110325, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 67.00% +- 0.67% 
Time: 20211119-112315, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 66.29% +- 0.71% 
Time: 20211119-112324, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 63.71% +- 0.70% 
Time: 20211119-220250, Setting: miniImagenet-novel-Conv4-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 65.64% +- 0.69% 
Time: 20211120-144810, Setting: miniImagenet-novel-Conv4Drop-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 64.98% +- 0.66% 
Time: 20211120-144825, Setting: miniImagenet-novel-Conv4-baseline++labelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 63.58% +- 0.68% 
Time: 20211120-151323, Setting: miniImagenet-novel-Conv4Drop-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 65.69% +- 0.69% 
Time: 20211120-153403, Setting: miniImagenet-novel-Conv4Drop-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 65.77% +- 0.68% 
Time: 20211120-155911, Setting: miniImagenet-novel-Conv4Drop-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 65.42% +- 0.67% 
Time: 20211120-155933, Setting: miniImagenet-novel-Conv4-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 66.15% +- 0.63% 
Time: 20211120-160847, Setting: miniImagenet-novel-Conv4-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 65.28% +- 0.67% 
Time: 20211120-185815, Setting: miniImagenet-novel-Conv4Drop-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 66.67% +- 0.65% 
Time: 20211120-193719, Setting: miniImagenet-novel-Conv4Drop-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 65.88% +- 0.69% 
Time: 20211120-195146, Setting: miniImagenet-novel-Conv4Drop-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 65.77% +- 0.68% 
Time: 20211120-200533, Setting: miniImagenet-novel-Conv4Drop-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 65.49% +- 0.67% 
Time: 20211123-175405, Setting: miniImagenet-novel-ResNet10-baselinecutmix-aug 5shot 5way_test, Acc: 600 Test Acc = 74.07% +- 0.62% 
Time: 20211124-150734, Setting: miniImagenet-novel-ResNet10-baselinecutmix-aug 5shot 5way_test, Acc: 600 Test Acc = 73.49% +- 0.66% 
Time: 20211124-153930, Setting: miniImagenet-novel-ResNet10-baselinecutmix-aug 5shot 5way_test, Acc: 600 Test Acc = 73.74% +- 0.67% 
Time: 20211124-155234, Setting: miniImagenet-novel-ResNet10-baselinecutmix-aug 5shot 5way_test, Acc: 600 Test Acc = 73.83% +- 0.60% 
